GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,DBUtils,23,40,3,7,7,16,3,6,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,DownloadTask,60,115,6,4,17,25,6,6,1,6
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCveParser,43,120,1,7,7,26,1,8,0,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCveInfo,0,34,0,0,0,14,0,9,0,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,ProcessTask,14,84,0,0,6,24,1,6,1,6
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,UpdateableNvdCve,21,87,1,3,5,22,4,10,3,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cpe,IndexEntry,107,58,17,7,19,18,15,10,4,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cpe,IndexException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cpe,CpeMemoryIndex,79,283,13,11,21,72,15,12,4,11
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionParser,47,87,2,0,14,17,1,4,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionParseException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionRule,425,343,60,60,93,93,58,42,22,18
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionErrorHandler,17,7,0,0,4,2,3,2,3,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionHandler,39,166,12,18,8,45,11,15,0,7
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,PropertyType,114,58,22,6,18,20,15,10,3,8
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nexus,NexusSearch,303,0,27,0,75,0,19,0,5,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nexus,MavenArtifact,110,93,1,3,32,14,12,7,11,6
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils.search,FileContentSearch,72,0,6,0,10,0,6,0,3,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,FileUtils,36,70,7,9,8,19,7,8,0,7
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,HttpResourceConnection,480,179,40,16,92,52,29,11,2,10
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,Settings,503,296,61,29,107,75,57,25,17,20
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,ExpectedObjectInputStream,32,0,2,0,7,0,3,0,2,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,SSLSocketFactoryEx,175,119,6,6,40,32,15,7,11,5
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,InvalidSettingException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFactory.new Authenticator() {...},58,0,6,0,10,0,5,0,2,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFailureException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFactory,184,92,40,4,40,30,22,6,1,5
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,Downloader,22,38,0,0,3,11,0,3,0,3
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,ExtractionException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,DownloadFailedException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,XmlUtils,72,79,9,2,12,25,6,5,1,4
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,Checksum,70,125,2,6,20,26,8,8,6,6
